created_at,favorite_count,full_text,quote_count,reply_count,retweet_count,hashtags,cleaned_text,cleaned_text_2,tokenized_text,stemmed_text,lemmatized_text
Fri Aug 29 08:35:49 +0000 2025,601,Prabowo MENYALAHKAN pendemo menyebut kami kurang hati hati bahwa kami perusuh. Ia memutus akuntabilitas institusi menjadikan ini seolah salah oknum . Tidak ada kata MAAF. Seperti biasa dialihkan ke optimisme patriotis kosong. Kamu biangnya @prabowo. Karena kamu sok hebat. https://t.co/GGltPIN14t,16,8,359,[],prabowo menyalahkan pendemo menyebut kami kurang hati hati bahwa kami perusuh ia memutus akuntabilitas institusi menjadikan ini seolah salah oknum  tidak ada kata maaf seperti biasa dialihkan ke optimisme patriotis kosong kamu biangnya  karena kamu sok hebat,prabowo menyalahkan pendemo menyebut hati hati perusuh memutus akuntabilitas institusi menjadikan salah oknum maaf dialihkan optimisme patriotis kosong biangnya sok hebat,"['prabowo', 'menyalahkan', 'pendemo', 'menyebut', 'hati', 'hati', 'perusuh', 'memutus', 'akuntabilitas', 'institusi', 'menjadikan', 'salah', 'oknum', 'maaf', 'dialihkan', 'optimisme', 'patriotis', 'kosong', 'biangnya', 'sok', 'hebat']",prabowo salah demo sebut hati hati rusuh putus akuntabilitas institusi jadi salah oknum maaf alih optimisme patriot kosong biang sok hebat,prabowo menyalahkan pendemo menyebut hati hati perusuh memutus akuntabilitas institusi menjadikan salah oknum maaf dialihkan optimisme patriotis kosong biangnya sok hebat
Sun Aug 31 11:28:48 +0000 2025,1161,ANALISIS KRITIS ATAS PIDATO PRESIDEN PRABOWO 31 AGUSTUS 2025 https://t.co/qQ2r2sqeJN 1. Dua wajah dalam satu pidato: Akuntabilitas minimal koersi maksimal Pidato Presiden berusaha tampil seimbang: mengakui hak berpendapat (mengutip ICCPR Pasal 19 dan UU No. 9/1998) sekaligus,30,22,949,[],analisis kritis atas pidato presiden prabowo  agustus   dua wajah dalam satu pidato akuntabilitas minimal koersi maksimal pidato presiden berusaha tampil seimbang mengakui hak berpendapat mengutip iccpr pasal  dan uu no  sekaligus,analisis kritis pidato presiden prabowo agustus wajah pidato akuntabilitas minimal koersi maksimal pidato presiden berusaha tampil seimbang mengakui hak berpendapat mengutip iccpr pasal uu no,"['analisis', 'kritis', 'pidato', 'presiden', 'prabowo', 'agustus', 'wajah', 'pidato', 'akuntabilitas', 'minimal', 'koersi', 'maksimal', 'pidato', 'presiden', 'berusaha', 'tampil', 'seimbang', 'mengakui', 'hak', 'berpendapat', 'mengutip', 'iccpr', 'pasal', 'uu', 'no']",analisis kritis pidato presiden prabowo agustus wajah pidato akuntabilitas minimal koersi maksimal pidato presiden usaha tampil imbang aku hak dapat kutip iccpr pasal uu no,analisis kriti pidato presiden prabowo agustus wajah pidato akuntabilitas minimal koersi maksimal pidato presiden berusaha tampil seimbang mengakui hak berpendapat mengutip iccpr pasal uu no
Fri Aug 29 05:19:10 +0000 2025,1681, Kenapa kok yang disalahin dpr sih? kan yang salah polri https://t.co/eszxuU2jpk,11,21,695,[],kenapa kok yang disalahin dpr sih kan yang salah polri,disalahin dewan perwakilan rakyat sih salah polri,"['disalahin', 'dewan', 'perwakilan', 'rakyat', 'sih', 'salah', 'polri']",disalahin dewan wakil rakyat sih salah polri,disalahin dewan perwakilan rakyat sih salah polri
Sat Aug 30 06:24:36 +0000 2025,5775,Cukup dan sudahi kekacauan ini pak Presiden Prabowo. Semua kini tergantung pada keputusan Bapak Presiden mau kemana Bapak Presiden melanjutkan arah perjalanan negeri ini. Cukup sudah nyawa rakyat menjadi korban banyak dari mereka adalah putra-putri pemuda pemudi tunas bangsa https://t.co/f2X4xkDTIn,32,97,1735,[],cukup dan sudahi kekacauan ini pak presiden prabowo semua kini tergantung pada keputusan bapak presiden mau kemana bapak presiden melanjutkan arah perjalanan negeri ini cukup sudah nyawa rakyat menjadi korban banyak dari mereka adalah putraputri pemuda pemudi tunas bangsa,sudahi kekacauan presiden prabowo tergantung keputusan presiden kemana presiden melanjutkan arah perjalanan negeri nyawa rakyat korban putraputri pemuda pemudi tunas bangsa,"['sudahi', 'kekacauan', 'presiden', 'prabowo', 'tergantung', 'keputusan', 'presiden', 'kemana', 'presiden', 'melanjutkan', 'arah', 'perjalanan', 'negeri', 'nyawa', 'rakyat', 'korban', 'putraputri', 'pemuda', 'pemudi', 'tunas', 'bangsa']",sudah kacau presiden prabowo gantung putus presiden mana presiden lanjut arah jalan negeri nyawa rakyat korban putraputri pemuda pemudi tunas bangsa,sudahi kekacauan presiden prabowo tergantung keputusan presiden kemana presiden melanjutkan arah perjalanan negeri nyawa rakyat korban putraputri pemuda pemudi tuna bangsa
Sun Aug 31 02:49:30 +0000 2025,24229, Mati kau mati kau! Gak kalian gak salah dengar Jurnalis profesi yang udah jelas dilindungi secara hukum dan HAM aja disiksa sama polisi kayak gini Mereka bukan penegak hukum mereka cuma pembunuh berseragam yang dipersenjatai negara!,143,33,20476,[],mati kau mati kau gak kalian gak salah dengar jurnalis profesi yang udah jelas dilindungi secara hukum dan ham aja disiksa sama polisi kayak gini mereka bukan penegak hukum mereka cuma pembunuh berseragam yang dipersenjatai negara,mati mati salah dengar jurnalis profesi dilindungi hukum ham aja disiksa polisi kayak gini penegak hukum pembunuh berseragam dipersenjatai negara,"['mati', 'mati', 'salah', 'dengar', 'jurnalis', 'profesi', 'dilindungi', 'hukum', 'ham', 'aja', 'disiksa', 'polisi', 'kayak', 'gini', 'penegak', 'hukum', 'pembunuh', 'berseragam', 'dipersenjatai', 'negara']",mati mati salah dengar jurnalis profesi lindung hukum ham aja siksa polisi kayak gin tegak hukum bunuh seragam senjata negara,mati mati salah dengar jurnalis profesi dilindungi hukum ham aja disiksa polisi kayak gini penegak hukum pembunuh berseragam dipersenjatai negara
Sat Aug 30 16:52:29 +0000 2025,1123,Sudah kubilang jangan pernah ancam Rakyat Statment yang mengatakan Tindak Tegas Bukan membuat kami takut justru kalian sedang menyiram Minyak kedalam bara api. Sekarang Terimalah PENGADILAN JALANAN DIMANA RAKYAT YANG MENJADI HAKIM Rasakan dan Nikmatilah Amuk Rakyat Yang https://t.co/rgNfQNXtRk,9,56,571,[],sudah kubilang jangan pernah ancam rakyat statment yang mengatakan tindak tegas bukan membuat kami takut justru kalian sedang menyiram minyak kedalam bara api sekarang terimalah pengadilan jalanan dimana rakyat yang menjadi hakim rasakan dan nikmatilah amuk rakyat yang,kubilang ancam rakyat statment tindak takut menyiram minyak kedalam bara api terimalah pengadilan jalanan dimana rakyat hakim rasakan nikmatilah amuk rakyat,"['kubilang', 'ancam', 'rakyat', 'statment', 'tindak', 'takut', 'menyiram', 'minyak', 'kedalam', 'bara', 'api', 'terimalah', 'pengadilan', 'jalanan', 'dimana', 'rakyat', 'hakim', 'rasakan', 'nikmatilah', 'amuk', 'rakyat']",bilang ancam rakyat statment tindak takut siram minyak dalam bara api terima adil jalan mana rakyat hakim rasa nikmat amuk rakyat,kubilang ancam rakyat statment tindak takut menyiram minyak kedalam bara api terimalah pengadilan jalanan dimana rakyat hakim rasakan nikmatilah amuk rakyat
Fri Aug 29 10:17:36 +0000 2025,408,A N A T H E M A Selama kodok belum menjadi 'swikee maka selalu ada sampah politik dan bom waktu di punggung Presiden @prabowo. Sampah politik itu berserakan di ruang - ruang gelap kekuasaan; Wakil Presiden belasan menteri anggota @DPR_RI kroni buzzer hingga para https://t.co/J0ETOMH9VQ,6,49,176,[],anathema selama kodok belum menjadi swikee maka selalu ada sampah politik dan bom waktu di punggung presiden  sampah politik itu berserakan di ruang  ruang gelap kekuasaan wakil presiden belasan menteri anggota kroni buzzer hingga para,anathema kodok swikee politik bom punggung presiden politik berserakan ruang ruang gelap kekuasaan wakil presiden belasan menteri anggota kroni buzzer,"['anathema', 'kodok', 'swikee', 'politik', 'bom', 'punggung', 'presiden', 'politik', 'berserakan', 'ruang', 'ruang', 'gelap', 'kekuasaan', 'wakil', 'presiden', 'belasan', 'menteri', 'anggota', 'kroni', 'buzzer']",anathema kodok swikee politik bom punggung presiden politik sera ruang ruang gelap kuasa wakil presiden bas menteri anggota kroni buzzer,anathema kodok swikee politik bom punggung presiden politik berserakan ruang ruang gelap kekuasaan wakil presiden belasan menteri anggota kroni buzzer
Fri Aug 29 07:28:59 +0000 2025,80820,NOT. A. SINGLE. FUCKING. APOLOGY. IN. THAT. FUCKING. LONG. BULLSHIT. PARAGRAPH. NONE. I. REPEAT. NOT. A. SINGLE. FUCKING. APOLOGY. NONE. ALSO. YOU. BLAME. THE. PROSTESTOR. NOT. YOUR. FUCKING. POLICE.,338,177,52084,[],not a single fucking apology in that fucking long bullshit paragraph none i repeat not a single fucking apology none also you blame the prostestor not your fucking police,not a single fucking apology in that fucking long bullshit paragraph none i repeat not a single fucking apology none also you blame the prostestor not your fucking police,"['not', 'a', 'single', 'fucking', 'apology', 'in', 'that', 'fucking', 'long', 'bullshit', 'paragraph', 'none', 'i', 'repeat', 'not', 'a', 'single', 'fucking', 'apology', 'none', 'also', 'you', 'blame', 'the', 'prostestor', 'not', 'your', 'fucking', 'police']",not a single fucking apology in that fucking long bullshit paragraph none i repeat not a single fucking apology none also you blame the prostestor not your fucking police,not a single fucking apology in that fucking long bullshit paragraph none i repeat not a single fucking apology none also you blame the prostestor not your fucking police
Sat Aug 30 10:10:45 +0000 2025,284,Camkan! Kalau saya jadi Presiden @prabowo saya akan meminta dan melakukan konpres bersama Kapolri dan Para Ketua Fraksi DPR di Depan Semua Media Lalu Menyampaikan Permintaan Maaf dengan disertai Kapolri Menyampaikan Pernyataan Pengunduran Diri Lalu Kapolri meminta agar seluruh https://t.co/2z5YcljI5Q,2,16,127,[],camkan kalau saya jadi presiden saya akan meminta dan melakukan konpres bersama kapolri dan para ketua fraksi dpr di depan semua media lalu menyampaikan permintaan maaf dengan disertai kapolri menyampaikan pernyataan pengunduran diri lalu kapolri meminta agar seluruh,camkan presiden konpres kapolri ketua fraksi dewan perwakilan rakyat media permintaan maaf disertai kapolri pernyataan pengunduran kapolri,"['camkan', 'presiden', 'konpres', 'kapolri', 'ketua', 'fraksi', 'dewan', 'perwakilan', 'rakyat', 'media', 'permintaan', 'maaf', 'disertai', 'kapolri', 'pernyataan', 'pengunduran', 'kapolri']",cam presiden konpres kapolri ketua fraksi dewan wakil rakyat media minta maaf serta kapolri nyata undur kapolri,camkan presiden konpres kapolri ketua fraksi dewan perwakilan rakyat medium permintaan maaf disertai kapolri pernyataan pengunduran kapolri
Thu Aug 28 15:48:20 +0000 2025,1889,Bapak Presiden @prabowo yth hal yg membuat rakyrat frustrasi : 1) gaya hidup hedonis dan arogan pejabat 2) kenaikan harga 3) penegakan hukum 4) pajak 5) pejabat tidak bersih dan tdk kompeten 6) kesulitan lapangan kerja 7) kelakuan polisi dan aparat yg menyiksa rakyat,15,82,926,[],bapak presiden yth hal yg membuat rakyrat frustrasi   gaya hidup hedonis dan arogan pejabat  kenaikan harga  penegakan hukum  pajak  pejabat tidak bersih dan tdk kompeten  kesulitan lapangan kerja  kelakuan polisi dan aparat yg menyiksa rakyat,presiden yth rakyrat frustrasi gaya hidup hedonis arogan pejabat kenaikan harga penegakan hukum pajak pejabat bersih kompeten kesulitan lapangan kerja kelakuan polisi aparat menyiksa rakyat,"['presiden', 'yth', 'rakyrat', 'frustrasi', 'gaya', 'hidup', 'hedonis', 'arogan', 'pejabat', 'kenaikan', 'harga', 'penegakan', 'hukum', 'pajak', 'pejabat', 'bersih', 'kompeten', 'kesulitan', 'lapangan', 'kerja', 'kelakuan', 'polisi', 'aparat', 'menyiksa', 'rakyat']",presiden yth rakyrat frustrasi gaya hidup hedonis arogan jabat naik harga tega hukum pajak jabat bersih kompeten sulit lapang kerja laku polisi aparat siksa rakyat,presiden yth rakyrat frustrasi gaya hidup hedonis arogan pejabat kenaikan harga penegakan hukum pajak pejabat bersih kompeten kesulitan lapangan kerja kelakuan polisi aparat menyiksa rakyat
Fri Aug 29 08:10:07 +0000 2025,8497,@cursedkidd @prabowo putar lagu kena royalti nganter orderan kena lindas polisi dana haji kena korupsi undang undang di otak atik di mahkamah konstitusi 19 juta lapangan pekerjaan cuma sekedar janji gini amat jadi WNI,67,37,3411,[],putar lagu kena royalti nganter orderan kena lindas polisi dana haji kena korupsi undang undang di otak atik di mahkamah konstitusi  juta lapangan pekerjaan cuma sekedar janji gini amat jadi wni,putar lagu kena royalti nganter orderan kena lindas polisi dana haji kena korupsi undang undang otak atik mahkamah konstitusi juta lapangan pekerjaan sekedar janji gini wni,"['putar', 'lagu', 'kena', 'royalti', 'nganter', 'orderan', 'kena', 'lindas', 'polisi', 'dana', 'haji', 'kena', 'korupsi', 'undang', 'undang', 'otak', 'atik', 'mahkamah', 'konstitusi', 'juta', 'lapangan', 'pekerjaan', 'sekedar', 'janji', 'gini', 'wni']",putar lagu kena royalti nganter order kena lindas polisi dana haji kena korupsi undang undang otak atik mahkamah konstitusi juta lapang kerja dar janji gin wni,putar lagu kena royalti nganter orderan kena lindas polisi dana haji kena korupsi undang undang otak atik mahkamah konstitusi juta lapangan pekerjaan sekedar janji gini wni
